fecha,rubro,especie,variedad,procedencia,envase,kg_bulto,calidad,tamano,grado,bulto_max,bulto_moda,bulto_min,kilo_max,kilo_moda,kilo_min
2026-09-01,frutas,ANANA,PIÑA,BRASIL,CA,18,EL,010/012,,36000,35000,33000,2000,1944.44,1833.33
2026-09-01,frutas,ANANA,PIÑA,ECUADOR,CA,22,EL,012/014,,44000,42000,40000,2000,1909.09,1818.18
2026-09-01,frutas,ANANA,Prom.Esp.,,,0,,,,0,38500,0,0,1926.77,0
2026-09-01,frutas,ARANDANO,,E. RIOS,CA,1.5,EL,GRANEL,,28000,26000,25000,18666.7,17333.3,16666.7
2026-09-01,frutas,ARANDANO,,TUCUMAN,CA,1.5,EL,GRANEL,,30000,29000,27000,20000,19333.3,18000
2026-09-01,frutas,ARANDANO,Prom.Esp.,,,0,,,,0,27500,0,0,18333.3,0
2026-09-01,frutas,BANANA,CAVENDISH,BOLIVIA,CA,18,EL,MEDIANO,,38000,35000,33000,2111.11,1944.44,1833.33
2026-09-01,frutas,BANANA,CAVENDISH,ECUADOR,CA,20,EL,GRANDE,,50000,47000,46000,2500,2350,2300
2026-09-01,frutas,BANANA,CAVENDISH,ECUADOR,CA,20,EL,MEDIANO,,44000,43000,42000,2200,2150,2100
2026-09-01,frutas,BANANA,NANIKA,BRASIL,PE,20,EL,MEDIANO,,32000,31000,30000,1600,1550,1500
2026-09-01,frutas,BANANA,NANIKA,PARAGUAY,PE,22,EL,MEDIANO,,25000,24000,23000,1136.36,1090.91,1045.45
2026-09-01,frutas,BANANA,NANIKA,SALTA,PE,22,CL,MEDIANO,,22000,21000,20000,1000,954.55,909.09
2026-09-01,frutas,BANANA,Prom.Esp.,,,0,,,,0,33500,0,0,1673.32,0
2026-09-01,frutas,CIRUELA,FORTUNE,ESPAÑA,CA,9,EL,GRANEL,,56000,54000,52000,6222.22,6000,5777.78
