fecha,rubro,especie,variedad,procedencia,envase,kg_bulto,calidad,tamano,grado,bulto_max,bulto_moda,bulto_min,kilo_max,kilo_moda,kilo_min
2026-09-04,frutas,ANANA,PIÑA,BRASIL,CA,18,EL,010/012,,35000,34000,33000,1944.44,1888.89,1833.33
2026-09-04,frutas,ANANA,PIÑA,ECUADOR,CA,22,EL,012/014,,42000,41000,40000,1909.09,1863.64,1818.18
2026-09-04,frutas,ANANA,Prom.Esp.,,,0,,,,0,37500,0,0,1876.27,0
2026-09-04,frutas,ARANDANO,,E. RIOS,CA,1.5,EL,GRANEL,,28000,26000,25000,18666.7,17333.3,16666.7
2026-09-04,frutas,ARANDANO,,TUCUMAN,CA,1.5,EL,GRANEL,,32000,30000,27000,21333.3,20000,18000
2026-09-04,frutas,ARANDANO,Prom.Esp.,,,0,,,,0,28000,0,0,18666.7,0
2026-09-04,frutas,BANANA,CAVENDISH,BOLIVIA,CA,18,EL,MEDIANO,,34000,32000,28000,1888.89,1777.78,1555.56
2026-09-04,frutas,BANANA,CAVENDISH,ECUADOR,CA,20,EL,GRANDE,,44000,42000,40000,2200,2100,2000
2026-09-04,frutas,BANANA,CAVENDISH,ECUADOR,CA,20,EL,MEDIANO,,39000,36000,35000,1950,1800,1750
2026-09-04,frutas,BANANA,NANIKA,BRASIL,PE,20,EL,MEDIANO,,26000,25000,24000,1300,1250,1200
2026-09-04,frutas,BANANA,NANIKA,PARAGUAY,PE,22,EL,MEDIANO,,24000,22000,19000,1090.91,1000,863.64
2026-09-04,frutas,BANANA,NANIKA,SALTA,PE,22,CL,MEDIANO,,19000,18000,16000,863.64,818.18,727.27
2026-09-04,frutas,BANANA,Prom.Esp.,,,0,,,,0,29167,0,0,1457.66,0
2026-09-04,frutas,CIRUELA,FORTUNE,ESPAÑA,CA,9,EL,GRANEL,,56000,54000,52000,6222.22,6000,5777.78
2026-09-04,frutas,CIRUELA,SUNGOLD,ESPAÑA,CA,9,EL,GRANDE,,58000,57000,55000,6444.44,6333.33,6111.11
2026-09-04,frutas,CIRUELA,Prom.Esp.,,,0,,,,0,55500,0,0,6166.67,0
2026-09-04,frutas,COCO,,BRASIL,BO,10,EL,MEDIANO,,25000,24000,22000,2500,2400,2200
2026-09-04,frutas,COCO,Prom.Esp.,,,0,,,,0,24000,0,0,2400,0
2026-09-04,frutas,FRUTILLA,,BS. AS.,BA,5,EL,MEDIANO,,20000,18000,16000,4000,3600,3200
2026-09-04,frutas,FRUTILLA,,CTES.,BA,2,EL,GRANEL,,11000,10000,9000,5500,5000,4500
2026-09-04,frutas,FRUTILLA,,SANTA FE,CA,2,EL,GRANEL,,10000,9000,8000,5000,4500,4000
2026-09-04,frutas,FRUTILLA,,SANTA FE,CA,5,EL,GRANDE,,20000,16000,15000,4000,3200,3000
2026-09-04,frutas,FRUTILLA,,TUCUMAN,CA,2,EL,GRANEL,,12000,10000,9000,6000,5000,4500
2026-09-04,frutas,FRUTILLA,,TUCUMAN,CA,5,EL,GRANEL,,220000,19000,17000,44000,3800,3400
2026-09-04,frutas,FRUTILLA,Prom.Esp.,,,0,,,,0,13667,0,0,4183.33,0
2026-09-04,frutas,KIWI,,BS. AS.,CA,10,EL,CHICO,,22000,21000,20000,2200,2100,2000
2026-09-04,frutas,KIWI,,BS. AS.,CA,10,EL,GRANDE,,64000,60000,55000,6400,6000,5500
2026-09-04,frutas,KIWI,,BS. AS.,CA,10,EL,MEDIANO,,44000,42000,38000,4400,4200,3800
2026-09-04,frutas,KIWI,,CHILE,CA,10,EL,MEDIANO,,50000,48000,45000,5000,4800,4500
2026-09-04,frutas,KIWI,Prom.Esp.,,,0,,,,0,42750,0,0,4275,0
2026-09-04,frutas,KUMQUAT,,E. RIOS,BO,1,EL,GRANEL,,3000,2700,2500,3000,2700,2500
2026-09-04,frutas,KUMQUAT,Prom.Esp.,,,0,,,,0,2700,0,0,2700,0
2026-09-04,frutas,LIMA,,E. RIOS,PE,17,EL,GRANEL,,22000,21000,20000,1294.12,1235.29,1176.47
2026-09-04,frutas,LIMA,TAHITI,BRASIL,BA,10,EL,MEDIANO,,28000,27000,25000,2800,2700,2500
2026-09-04,frutas,LIMA,Prom.Esp.,,,0,,,,0,24000,0,0,1967.65,0
2026-09-04,frutas,LIMON,EUREKA,CTES.,TO,18,EL,125/138,,14000,13000,12000,777.78,722.22,666.67
2026-09-04,frutas,LIMON,EUREKA,JUJUY,CA,17,EL,090/120,,15000,14000,12000,882.35,823.53,705.88
2026-09-04,frutas,LIMON,EUREKA,SALTA,CA,17,EL,090/120,,14000,13000,12000,823.53,764.71,705.88
2026-09-04,frutas,LIMON,EUREKA,TUCUMAN,BO,14,CL,GRANEL,,10000,8000,7000,714.29,571.43,500
2026-09-04,frutas,LIMON,EUREKA,TUCUMAN,CA,18,EL,090/100,,13000,12000,11000,722.22,666.67,611.11
2026-09-04,frutas,LIMON,EUREKA,TUCUMAN,CA,18,EL,125/138,,12000,11000,10000,666.67,611.11,555.56
2026-09-04,frutas,LIMON,GENOVA,E. RIOS,PE,18,EL,100/140,,12000,10000,9000,666.67,555.56,500
2026-09-04,frutas,LIMON,Prom.Esp.,,,0,,,,0,11571,0,0,673.6,0
2026-09-04,frutas,MAMON,,BRASIL,CA,10,EL,GRANEL,,35000,33000,32000,3500,3300,3200
2026-09-04,frutas,MAMON,Prom.Esp.,,,0,,,,0,33000,0,0,3300,0
2026-09-04,frutas,MANDARINA,ELLENDALE,E. RIOS,PE,18,EL,GRANDE,,15000,13000,12000,833.33,722.22,666.67
2026-09-04,frutas,MANDARINA,ELLENDALE,E. RIOS,PE,18,EL,MEDIANO,,12000,11000,10000,666.67,611.11,555.56
2026-09-04,frutas,MANDARINA,ENCORE,E. RIOS,JA,18,EL,MEDIANO,,13000,11000,10000,722.22,611.11,555.56
2026-09-04,frutas,MANDARINA,ENCORE,E. RIOS,TO,18,EL,GRANDE,,17000,16000,14000,944.44,888.89,777.78
2026-09-04,frutas,MANDARINA,MALVASIO,E. RIOS,PE,18,EL,MEDIANO,,13000,12000,11000,722.22,666.67,611.11
2026-09-04,frutas,MANDARINA,MURCOT,E. RIOS,PE,18,EL,GRANDE,,16000,15000,14000,888.89,833.33,777.78
2026-09-04,frutas,MANDARINA,MURCOT,E. RIOS,PE,18,EL,MEDIANO,,13000,12000,11000,722.22,666.67,611.11
2026-09-04,frutas,MANDARINA,NOVA,CTES.,PE,18,EL,MEDIANO,,9000,8000,7000,500,444.44,388.89
2026-09-04,frutas,MANDARINA,NOVA,E. RIOS,PE,18,EL,MEDIANO,,10000,9000,8000,555.56,500,444.44
2026-09-04,frutas,MANDARINA,Prom.Esp.,,,0,,,,0,11889,0,0,660.49,0
2026-09-04,frutas,MANGO,,BRASIL,CA,4,EL,MEDIANO,,15000,14000,12000,3750,3500,3000
2026-09-04,frutas,MANGO,,BRASIL,CA,18,EL,GRANDE,,42000,38000,36000,2333.33,2111.11,2000
2026-09-04,frutas,MANGO,Prom.Esp.,,,0,,,,0,26000,0,0,2805.56,0
2026-09-04,frutas,MANI,,SALTA,BO,5,EL,GRANEL,,20000,18000,17000,4000,3600,3400
2026-09-04,frutas,MANI,Prom.Esp.,,,0,,,,0,18000,0,0,3600,0
2026-09-04,frutas,MANZANA,CRIPPS PIN,R. NEGRO,CA,18,EL,100/125,,40000,37000,35000,2222.22,2055.56,1944.44
2026-09-04,frutas,MANZANA,CRIPPS PIN,R. NEGRO,CA,18,EL,125/138,,34000,33000,32000,1888.89,1833.33,1777.78
2026-09-04,frutas,MANZANA,GRANNY SMI,CHILE,CA,18,EL,070/080,,65000,64000,62000,3611.11,3555.56,3444.44
2026-09-04,frutas,MANZANA,GRANNY SMI,R. NEGRO,CA,10,EL,036/044,,34000,32000,30000,3400,3200,3000
2026-09-04,frutas,MANZANA,GRANNY SMI,R. NEGRO,CA,18,EL,080/100,,55000,53000,50000,3055.56,2944.44,2777.78
2026-09-04,frutas,MANZANA,GRANNY SMI,R. NEGRO,CA,18,EL,110/130,,38000,37000,36000,2111.11,2055.56,2000
2026-09-04,frutas,MANZANA,GRANNY SMI,R. NEGRO,JA,18,CL,088/113,,33000,32000,30000,1833.33,1777.78,1666.67
2026-09-04,frutas,MANZANA,GRANNY SMI,R. NEGRO,JA,18,CL,125/138,,31000,29000,28000,1722.22,1611.11,1555.56
2026-09-04,frutas,MANZANA,GRANNY SMI,R. NEGRO,JA,18,EL,100/125,,37000,36000,35000,2055.56,2000,1944.44
2026-09-04,frutas,MANZANA,RED DELICI,CHILE,CA,18,EL,080/100,,68000,65000,64000,3777.78,3611.11,3555.56
2026-09-04,frutas,MANZANA,RED DELICI,R. NEGRO,CA,10,EL,044/056,,33000,32000,30000,3300,3200,3000
2026-09-04,frutas,MANZANA,RED DELICI,R. NEGRO,CA,18,CL,080/100,,31000,29000,27000,1722.22,1611.11,1500
2026-09-04,frutas,MANZANA,RED DELICI,R. NEGRO,CA,18,CL,113/125,,35000,33000,32000,1944.44,1833.33,1777.78
2026-09-04,frutas,MANZANA,RED DELICI,R. NEGRO,CA,18,EL,080/100,,40000,37000,35000,2222.22,2055.56,1944.44
2026-09-04,frutas,MANZANA,RED DELICI,R. NEGRO,CA,18,EL,088/113,,54000,50000,45000,3000,2777.78,2500
2026-09-04,frutas,MANZANA,RED DELICI,R. NEGRO,CA,18,EL,113/125,,44000,40000,38000,2444.44,2222.22,2111.11
2026-09-04,frutas,MANZANA,RED DELICI,R. NEGRO,CA,18,EL,125/138,,40000,38000,35000,2222.22,2111.11,1944.44
2026-09-04,frutas,MANZANA,RED DELICI,R. NEGRO,CA,18,SP,088/113,,58000,55000,52000,3222.22,3055.56,2888.89
2026-09-04,frutas,MANZANA,RED DELICI,R. NEGRO,JA,18,CL,072/080,,32000,30000,28000,1777.78,1666.67,1555.56
2026-09-04,frutas,MANZANA,RED DELICI,R. NEGRO,JA,18,CL,100/125,,30000,28000,26000,1666.67,1555.56,1444.44
2026-09-04,frutas,MANZANA,RED DELICI,R. NEGRO,JA,18,EL,113/125,,35000,32000,30000,1944.44,1777.78,1666.67
2026-09-04,frutas,MANZANA,ROME BEAUT,R. NEGRO,CA,18,EL,072/080,,42000,40000,37000,2333.33,2222.22,2055.56
2026-09-04,frutas,MANZANA,Prom.Esp.,,,0,,,,0,39182,0,0,2306.06,0
2026-09-04,frutas,MELON,AMARILLO,BRASIL,CA,12,EL,MEDIANO,,36000,34000,32000,3000,2833.33,2666.67
2026-09-04,frutas,MELON,ORANGE,BRASIL,CA,10,EL,MEDIANO,,35000,34000,33000,3500,3400,3300
2026-09-04,frutas,MELON,Prom.Esp.,,,0,,,,0,34000,0,0,3116.67,0
